eventID,trackID,parentID,particle,time_ns,x_mm,y_mm,z_mm,energy_MeV,process,edep_MeV
3,33701,33670,e+,0.882178,17.2578,0.0678215,110.833,19.2732,conv,0.0204427
3,33719,33709,e+,0.901885,21.7426,2.6131,113.189,0,conv,0.321372
3,33743,33668,e+,0.936028,27.6497,-0.182688,123.231,11.8949,conv,1.11847
3,33785,33664,e+,0.988237,42.4989,-2.04484,129.984,1.62829,conv,2.67557
3,33803,33663,e+,0.906677,22.0189,-0.683117,116.458,12.0599,conv,0.116117
3,33822,33806,e+,0.988853,31.7495,11.1832,135.272,0,conv,0.156632
3,33857,33661,e+,0.895467,19.9424,0.3882,113.804,0,conv,1.75432
3,33874,33657,e+,0.869212,14.2059,0.50822,108.358,0.987261,conv,1.628
3,33893,33655,e+,0.867187,13.7444,0.440306,107.965,15.2178,conv,0.83948
3,33899,33897,e+,0.87892,14.8157,1.09663,110.892,1.46284,conv,0.0627208
